lexeme               line  tokenName       valueIfNumber   parentNodeSymbol     isLeaf NodeSymbol          
-------------------- ----- --------------- --------------- -------------------- ----- --------------------
:                    22    TK_COLON        ----            fieldDefinition      yes                       
real                 22    TK_REAL         ----            primitiveDatatype    yes                       
----                 0                     ----            fieldtype            no    primitiveDatatype   
----                 0                     ----            fieldDefinition      no    fieldtype           
type                 22    TK_TYPE         ----            fieldDefinition      yes                       
#marks               21    TK_RUID         ----            typeDefinition       yes                       
record               21    TK_RECORD       ----            typeDefinition       yes                       
----                 0                     ----            typeDefinitions      no    actualOrRedefined   
_main                20    TK_MAIN         ----            mainFunction         yes                       
----                 0                     ----            ROOT                 no    program             
----                 0     EPSILON         ----            otherFunctions       yes                       
----                 0                     ----            otherFunctions       no    otherFunctions      
----                 0                     ----            program              no    otherFunctions      
end                  14    TK_END          ----            function             yes                       
----                 0                     ----            otherFunctions       no    function            
;                    13    TK_SEM          ----            returnStmt           yes                       
----                 0                     ----            stmts                no    returnStmt          
]                    13    TK_SQR          ----            optionalReturn       yes                       
----                 0                     ----            returnStmt           no    optionalReturn      
----                 0     EPSILON         ----            more_ids             yes                       
----                 0                     ----            idList               no    more_ids            
----                 0                     ----            optionalReturn       no    idList              
b3c45                13    TK_ID           ----            idList               yes                       
[                    13    TK_SQL          ----            optionalReturn       yes                       
return               13    TK_RETURN       ----            returnStmt           yes                       
----                 0                     ----            function             no    stmts               
----                 0     EPSILON         ----            otherStmts           yes                       
----                 0                     ----            otherStmts           no    otherStmts          
----                 0                     ----            otherStmts           no    otherStmts          
;                    12    TK_SEM          ----            ioStmt               yes                       
----                 0                     ----            stmt                 no    ioStmt              
)                    12    TK_CL           ----            ioStmt               yes                       
----                 0     EPSILON         ----            moreExpansions       yes                       
----                 0                     ----            option_single_constructed no    moreExpansions      
----                 0                     ----            singleOrRecId        no    option_single_constructed
chemistry            12    TK_FIELDID      ----            oneExpansion         yes                       
----                 0                     ----            option_single_constructed no    oneExpansion        
.                    12    TK_DOT          ----            oneExpansion         yes                       
----                 0                     ----            var                  no    singleOrRecId       
b3c45                12    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            ioStmt               no    var                 
(                    12    TK_OP           ----            ioStmt               yes                       
read                 12    TK_READ         ----            ioStmt               yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            otherStmts           no    otherStmts          
;                    11    TK_SEM          ----            ioStmt               yes                       
----                 0                     ----            stmt                 no    ioStmt              
)                    11    TK_CL           ----            ioStmt               yes                       
----                 0     EPSILON         ----            moreExpansions       yes                       
----                 0                     ----            option_single_constructed no    moreExpansions      
----                 0                     ----            singleOrRecId        no    option_single_constructed
physics              11    TK_FIELDID      ----            oneExpansion         yes                       
----                 0                     ----            option_single_constructed no    oneExpansion        
.                    11    TK_DOT          ----            oneExpansion         yes                       
----                 0                     ----            var                  no    singleOrRecId       
b3c45                11    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            ioStmt               no    var                 
(                    11    TK_OP           ----            ioStmt               yes                       
read                 11    TK_READ         ----            ioStmt               yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            stmts                no    otherStmts          
;                    10    TK_SEM          ----            ioStmt               yes                       
----                 0                     ----            stmt                 no    ioStmt              
)                    10    TK_CL           ----            ioStmt               yes                       
----                 0     EPSILON         ----            moreExpansions       yes                       
----                 0                     ----            option_single_constructed no    moreExpansions      
----                 0                     ----            singleOrRecId        no    option_single_constructed
maths                10    TK_FIELDID      ----            oneExpansion         yes                       
----                 0                     ----            option_single_constructed no    oneExpansion        
.                    10    TK_DOT          ----            oneExpansion         yes                       
----                 0                     ----            var                  no    singleOrRecId       
b3c45                10    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            ioStmt               no    var                 
(                    10    TK_OP           ----            ioStmt               yes                       
read                 10    TK_READ         ----            ioStmt               yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0     EPSILON         ----            declarations         yes                       
----                 0                     ----            stmts                no    declarations        
----                 0     EPSILON         ----            typeDefinitions      yes                       
----                 0                     ----            stmts                no    typeDefinitions     
;                    9     TK_SEM          ----            function             yes                       
]                    9     TK_SQR          ----            output_par           yes                       
----                 0                     ----            function             no    output_par          
----                 0     EPSILON         ----            remaining_list       yes                       
----                 0                     ----            parameter_list       no    remaining_list      
----                 0                     ----            output_par           no    parameter_list      
b3c45                9     TK_ID           ----            parameter_list       yes                       
#marks               9     TK_RUID         ----            constructedDatatype  yes                       
----                 0                     ----            dataType             no    constructedDatatype 
record               9     TK_RECORD       ----            constructedDatatype  yes                       
----                 0                     ----            parameter_list       no    dataType            
[                    9     TK_SQL          ----            output_par           yes                       
list                 9     TK_LIST         ----            output_par           yes                       
parameter            9     TK_PARAMETER    ----            output_par           yes                       
output               9     TK_OUTPUT       ----            output_par           yes                       
]                    8     TK_SQR          ----            input_par            yes                       
----                 0                     ----            function             no    input_par           
----                 0     EPSILON         ----            remaining_list       yes                       
----                 0                     ----            parameter_list       no    remaining_list      
----                 0                     ----            input_par            no    parameter_list      
b7                   8     TK_ID           ----            parameter_list       yes                       
int                  8     TK_INT          ----            primitiveDatatype    yes                       
----                 0                     ----            dataType             no    primitiveDatatype   
----                 0                     ----            parameter_list       no    dataType            
[                    8     TK_SQL          ----            input_par            yes                       
list                 8     TK_LIST         ----            input_par            yes                       
parameter            8     TK_PARAMETER    ----            input_par            yes                       
input                8     TK_INPUT        ----            input_par            yes                       
_readMarks           8     TK_FUNID        ----            function             yes                       
